user_id,session_id,message,timestamp,additional_info
1,session1,"At first, I was like 'hmm what could they share about her story to make it a whole film?' But the trailer humbled me.",2023-01-01 00:00:00,Additional info here
1,session1,"I live in South Africa, where can I buy your gadgets?",2023-01-01 00:02:00,Additional info here
1,session1,"Let's take a long walk along the beach, it is sunny and nice weather.",2023-01-01 00:04:00,Additional info here
1,session1,What a pleasant surprise!,2023-01-01 00:06:00,Additional info here
1,session1,This made my day!,2023-01-01 00:08:00,Additional info here
1,session1,The weather is wonderful.,2023-01-01 00:10:00,Additional info here
1,session1,Be at peace with yourself . Love yourself and others . Inner peace ! Inner peace !,2023-01-01 00:12:00,Additional info here
1,session1,"The product portfolio looks good, excited to see a presentation of the portfolio.",2023-01-01 00:14:00,Additional info here
1,session1,We had a face to face meeting which was better than Face-time meeting but it has to happen more often.,2023-01-01 00:16:00,Additional info here
1,session1,"The presentation was okay, as expected.",2023-01-01 00:18:00,Additional info here
1,session1,Nice.,2023-01-01 00:20:00,Additional info here
1,session1,The weather is wonderful.,2023-01-01 00:22:00,Additional info here
1,session1,Finally Varun take acting seriously..,2023-01-01 00:24:00,Additional info here
1,session1,The shipment is done as planned.,2023-01-01 00:26:00,Additional info here
1,session1,Looks wonderful. The only question now is... how will Netflix screw it up?,2023-01-01 00:28:00,Additional info here
1,session1,This product is disappointing.,2023-01-01 00:30:00,Additional info here
1,session1,We had a face to face meeting which was better than Face-time meeting but it has to happen more often.,2023-01-01 00:32:00,Additional info here
1,session1,"Thank you very much, your summary is brilliant.",2023-01-01 00:34:00,Additional info here
1,session1,Delivery was good and the customer support works decently.,2023-01-01 00:36:00,Additional info here
1,session1,What a pleasant surprise!,2023-01-01 00:38:00,Additional info here
1,session1,"The flight was too long, but the service was good.",2023-01-01 00:40:00,Additional info here
1,session1,FINALLY a movie featuring the TRUE meaning of Merry Christmas!!🌷🙏✝️,2023-01-01 00:42:00,Additional info here
1,session1,Delivery was good and the customer support works decently.,2023-01-01 00:44:00,Additional info here
1,session1,People working in the shop could act more customer friendly.,2023-01-01 00:46:00,Additional info here
1,session1,I absolutely love this.,2023-01-01 00:48:00,Additional info here
1,session2,"Let's take a long walk along the beach, it is sunny and nice weather.",2023-02-06 00:00:00,Additional info here
1,session2,Why are you upset with Siri? 😂🙈,2023-02-06 00:02:00,Additional info here
1,session2,Why are you upset with Siri? 😂🙈,2023-02-06 00:04:00,Additional info here
1,session2,We had a face to face meeting which was better than Face-time meeting but it has to happen more often.,2023-02-06 00:06:00,Additional info here
1,session2,I am happy that I received what I ordered in time.,2023-02-06 00:08:00,Additional info here
1,session2,I am happy that I received what I ordered in time.,2023-02-06 00:10:00,Additional info here
1,session2,That last part was a bit confusing.,2023-02-06 00:12:00,Additional info here
1,session2,Finally Varun take acting seriously..,2023-02-06 00:14:00,Additional info here
1,session2,Is everything fine?,2023-02-06 00:16:00,Additional info here
1,session2,Troubleshooting has to be improved. Last week the response for hot TR’s was slow.,2023-02-06 00:18:00,Additional info here
1,session2,We had a face to face meeting which was better than Face-time meeting but it has to happen more often.,2023-02-06 00:20:00,Additional info here
1,session2,FINALLY a movie featuring the TRUE meaning of Merry Christmas!!🌷🙏✝️,2023-02-06 00:22:00,Additional info here
1,session2,"The implementation project is delayed, which puts us in a weak position compared to our competitors.",2023-02-06 00:24:00,Additional info here
1,session2,Number of support engineers should be increased.,2023-02-06 00:26:00,Additional info here
1,session2,"The product portfolio looks good, excited to see a presentation of the portfolio.",2023-02-06 00:28:00,Additional info here
